Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jericho Sims,PF,23,NYK,8,0,6.8,0.4,0.4,1.000,0.0,0.0,0,0.4,0.4,1.000,1.000,0.4,0.5,.750,0.3,1.5,1.8,0.0,0.3,0.4,0.3,0.5,1.1
Marcus Smart,PG,27,BOS,22,22,34.9,3.9,9.9,.390,1.5,5.0,.303,2.4,5.0,.477,.466,1.9,2.5,.759,0.5,3.3,3.9,5.6,2.2,0.3,1.8,2.3,11.1
Dennis Smith Jr.,PG,24,POR,12,0,13.1,1.3,3.8,.348,0.3,1.0,.250,1.1,2.8,.382,.380,0.9,1.4,.647,0.3,1.4,1.7,2.7,1.3,0.3,1.3,1.2,3.8
Ish Smith,PG,33,CHO,17,0,12.5,1.9,4.8,.390,0.1,0.1,.500,1.8,4.7,.388,.396,0.2,0.5,.375,0.1,1.0,1.1,2.2,0.4,0.2,0.9,0.6,4.0
Jalen Smith,PF,21,PHO,7,0,5.1,1.0,2.0,.500,0.0,0.3,.000,1.0,1.7,.583,.500,0.9,1.0,.857,0.6,1.6,2.1,0.0,0.1,0.1,0.1,0.4,2.9
Tony Snell,SG,30,POR,17,2,11.1,0.6,2.1,.306,0.5,1.7,.310,0.1,0.4,.286,.431,0.1,0.1,1.000,0.1,1.2,1.3,0.5,0.2,0.1,0.2,0.9,1.9
Jaden Springer,SG,19,PHI,1,0,2.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lamar Stevens,PF,24,CLE,13,0,10.9,1.1,3.1,.350,0.3,0.8,.364,0.8,2.2,.345,.400,0.3,0.5,.571,0.7,0.8,1.5,0.3,0.2,0.3,0.3,1.3,2.8
Isaiah Stewart,C,20,DET,20,20,25.1,3.4,6.3,.544,0.1,0.6,.091,3.4,5.7,.588,.548,0.8,1.2,.696,2.5,5.5,8.0,1.1,0.4,1.2,1.1,2.5,7.7
Max Strus,SF,25,MIA,16,0,20.9,2.8,6.4,.431,1.8,4.7,.373,1.0,1.7,.593,.569,0.5,0.8,.615,0.3,3.0,3.3,0.9,0.4,0.1,0.6,1.5,7.8
Jalen Suggs,PG,20,ORL,21,21,27.8,4.1,12.2,.339,1.2,4.9,.255,2.9,7.4,.394,.389,2.8,3.6,.763,0.8,2.6,3.4,3.6,1.1,0.4,3.2,2.8,12.3
Jae'Sean Tate,SF,26,HOU,22,22,28.0,4.9,9.9,.498,0.7,2.7,.267,4.2,7.1,.586,.535,2.0,2.5,.782,2.2,4.5,6.6,2.5,0.8,0.7,1.9,3.2,12.5
Jayson Tatum,SF,23,BOS,23,23,36.7,8.8,21.9,.402,2.7,8.5,.311,6.1,13.3,.459,.462,4.7,5.7,.824,1.1,7.6,8.7,3.7,0.9,0.8,2.5,2.5,24.9
Garrett Temple,SG,35,NOP,23,8,18.5,1.9,4.8,.391,1.0,2.9,.364,0.8,1.9,.432,.500,0.8,1.0,.792,0.7,2.0,2.7,1.1,0.9,0.6,0.8,1.7,5.6
Daniel Theis,C,29,HOU,16,14,23.2,3.1,6.5,.481,0.9,2.9,.298,2.3,3.6,.632,.548,1.0,1.4,.727,1.1,3.9,4.9,0.8,0.4,0.6,1.3,2.5,8.1
Brodric Thomas,SG,25,BOS,2,0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
Cameron Thomas,SG,20,BRK,15,0,9.7,1.3,3.7,.357,0.3,1.7,.192,1.0,2.0,.500,.402,0.6,0.9,.692,0.1,0.8,0.9,0.7,0.3,0.2,0.3,0.4,3.6
Matt Thomas,SG,27,CHI,7,0,4.3,0.6,2.3,.250,0.1,1.0,.143,0.4,1.3,.333,.281,0.0,0.0,0,0.0,0.3,0.3,0.0,0.1,0.1,0.0,0.1,1.3
Tristan Thompson,PF,30,SAC,15,0,14.1,2.3,4.5,.507,0.0,0.0,0,2.3,4.5,.507,.507,1.0,2.0,.500,2.4,3.2,5.6,0.7,0.3,0.4,0.7,1.7,5.5
JT Thor,PF,19,CHO,2,0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matisse Thybulle,SG,24,PHI,16,5,25.5,2.4,4.8,.513,0.7,2.3,.297,1.8,2.4,.718,.586,0.4,0.4,1.000,0.5,2.1,2.6,1.1,2.0,1.4,1.1,2.1,5.9
Killian Tillie,C,23,MEM,8,0,8.5,1.0,2.9,.348,0.5,1.6,.308,0.5,1.3,.400,.435,0.1,0.3,.500,0.6,0.4,1.0,0.3,0.5,0.6,0.3,1.0,2.6
Xavier Tillman Sr.,PF,23,MEM,15,0,13.5,1.8,4.3,.422,0.3,1.3,.200,1.5,2.9,.523,.453,0.7,0.9,.714,1.1,1.8,2.9,1.4,1.1,0.3,0.5,0.9,4.5
Isaiah Todd,PF,20,WAS,3,0,2.3,0.7,1.7,.400,0.7,1.0,.667,0.0,0.7,.000,.600,0.3,0.7,.500,0.0,0.3,0.3,0.0,0.3,0.3,0.0,0.0,2.3
